,Make,Model Family,Year,Price_USD_Thousands,Mileage,Listing Year,_make_model
358,FERRARI,360,2004,172.0,13000.0,2019,FERRARI_360
359,FERRARI,360,2003,85.5,14500.0,2019,FERRARI_360
360,FERRARI,360,1999,85.0,20000.0,2019,FERRARI_360
362,FERRARI,360,1999,57.0,26500.0,2020,FERRARI_360
363,FERRARI,360,2002,84.0,10800.0,2019,FERRARI_360
366,FERRARI,360,1999,96.5,18000.0,2019,FERRARI_360
368,FERRARI,360,2003,82.84946236559139,74500.0,2019,FERRARI_360
369,FERRARI,360,2004,50.555,11185.0,2019,FERRARI_360
370,FERRARI,360,2003,78.60759493670886,32500.0,2019,FERRARI_360
371,FERRARI,360,2001,48.4,15050.0,2019,FERRARI_360
372,FERRARI,360,1999,52.0,35700.0,2019,FERRARI_360
373,FERRARI,360,2001,110.0,30000.0,2021,FERRARI_360
374,FERRARI,360,2000,83.05,34000.0,2019,FERRARI_360
375,FERRARI,360,2003,58.5,28583.0,2019,FERRARI_360
376,FERRARI,360,2000,75.999,45000.0,2019,FERRARI_360
377,FERRARI,360,2003,188.0,25000.0,2022,FERRARI_360
378,FERRARI,360,2004,218.4,10700.0,2019,FERRARI_360
379,FERRARI,360,2004,92.0,20000.0,2019,FERRARI_360
380,FERRARI,360,2002,57.2,18324.0,2019,FERRARI_360
381,FERRARI,360,2003,119.0,8000.0,2019,FERRARI_360
384,FERRARI,360,1999,100.0,17000.0,2019,FERRARI_360
385,FERRARI,360,2000,99.0,3439.0,2020,FERRARI_360
386,FERRARI,360,2003,97.0,38000.0,2021,FERRARI_360
387,FERRARI,360,2002,58.5,11000.0,2019,FERRARI_360
388,FERRARI,F430,2007,143.0,10723.0,2024,FERRARI_F430
389,FERRARI,F430,2005,100.0,18000.0,2024,FERRARI_F430
390,FERRARI,F430,2009,376.5822784810126,7243.0,2024,FERRARI_F430
391,FERRARI,F430,2007,125.0,11000.0,2024,FERRARI_F430
392,FERRARI,F430,2006,121.0,11000.0,2024,FERRARI_F430
393,FERRARI,F430,2008,85.44303797468353,18851.0,2024,FERRARI_F430
394,FERRARI,F430,2007,186.3010752688172,53127.0,2024,FERRARI_F430
395,FERRARI,F430,2006,121.43,20000.0,2024,FERRARI_F430
396,FERRARI,F430,2008,152.0,5000.0,2024,FERRARI_F430
397,FERRARI,F430,2008,123.2,18950.0,2024,FERRARI_F430
398,FERRARI,F430,2008,87.18987341772151,25800.0,2024,FERRARI_F430
399,FERRARI,F430,2008,156.0,24000.0,2024,FERRARI_F430
400,FERRARI,F430,2006,115.05376344086021,21748.0,2024,FERRARI_F430
401,FERRARI,F430,2007,85.8645569620253,19631.0,2024,FERRARI_F430
402,FERRARI,F430,2006,129.0,12000.0,2024,FERRARI_F430
403,FERRARI,F430,2008,212.0,27300.0,2024,FERRARI_F430
404,FERRARI,F430,2006,100.0,55888.0,2024,FERRARI_F430
405,FERRARI,F430,2007,105.0,22000.0,2024,FERRARI_F430
406,FERRARI,F430,2006,229.905,368.0,2024,FERRARI_F430
407,FERRARI,F430,2005,125.0,11848.0,2024,FERRARI_F430
408,FERRARI,F430,2006,150.0,5945.0,2024,FERRARI_F430
409,FERRARI,F430,2007,350.0,2300.0,2024,FERRARI_F430
410,FERRARI,F430,2008,187.0,10511.0,2024,FERRARI_F430
411,FERRARI,F430,2005,83.33333333333333,44191.0,2024,FERRARI_F430
412,FERRARI,F430,2006,207.0,19000.0,2024,FERRARI_F430
413,FERRARI,F430,2007,127.95698924731182,44129.0,2024,FERRARI_F430
414,FERRARI,F430,2009,167.0,6000.0,2024,FERRARI_F430
415,FERRARI,F430,2006,235.0,26000.0,2024,FERRARI_F430
416,FERRARI,F430,2005,98.5,36000.0,2024,FERRARI_F430
417,FERRARI,F430,2005,130.0,14869.0,2024,FERRARI_F430
418,FERRARI,F430,2006,96.77419354838709,52332.0,2024,FERRARI_F430
419,FERRARI,F430,2006,106.0,26000.0,2023,FERRARI_F430
420,FERRARI,F430,2007,105.0,22872.0,2023,FERRARI_F430
421,FERRARI,F430,2006,68.35443037974683,37800.0,2023,FERRARI_F430
422,FERRARI,F430,2009,380.3763440860215,19687.0,2023,FERRARI_F430
423,FERRARI,F430,2007,76.0759493670886,23670.0,2023,FERRARI_F430
424,FERRARI,F430,2008,127.0,17000.0,2023,FERRARI_F430
425,FERRARI,F430,2006,70.25316455696202,22777.0,2023,FERRARI_F430
426,FERRARI,F430,2008,127.0,10000.0,2023,FERRARI_F430
427,FERRARI,F430,2007,105.0,22872.0,2023,FERRARI_F430
